channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
The MriDul
    ","16,100,000",Comedy,"4,828,945,268",133,2015,226
"
Single Track Studio
    ","11,900,000",Entertainment,"4,823,701,283","1,747",2010,227
"
Lokdhun Punjabi
    ","13,200,000",Music,"4,799,176,146","1,182",2010,228
"
News Nation
    ","11,700,000",News & Politics,"4,785,420,639","148,078",2012,229
"
Oneindia Hindi | à¤µà¤¨à¤à¤à¤¡à¤¿à¤¯à¤¾ à¤¹à¤¿à¤à¤¦à¥
    ","12,100,000",News & Politics,"4,762,676,528","149,847",2015,230
"
Cute.Shivani.05
    ","13,100,000",People & Blogs,"4,700,938,005",739,2021,231
"
Times Music
    ","12,400,000",Music,"4,641,199,994","2,462",2010,232
"
ChuChuTV Bangla
    ","7,750,000",,"4,594,128,370",304,2019,233
"
BLUE BOX
    ","6,120,000",,"4,586,591,691",475,2020,234
"
Koo Koo TV - Hindi
    ","12,100,000",Education,"4,556,202,494","1,224",2017,235
"
Abhay Bhadoriya
    ","9,920,000",Entertainment,"4,540,921,240","1,848",2018,236
"
Sanjoy Das Official
    ","15,000,000",Entertainment,"4,540,398,855","1,859",2015,237
"
CKM
    ","12,500,000",Comedy,"4,520,693,292",120,2018,238
"
Indore Physical Academy
    ","15,300,000",People & Blogs,"4,509,847,900","2,032",2014,239
"
StudyIQ IAS
    ","15,600,000",Education,"4,496,867,930","46,365",2015,240
"
TV5 News 
    ","4,780,000",News & Politics,"4,495,196,761","260,560",2011,241
"
Hindustan Times
    ","6,180,000",News & Politics,"4,494,358,320","54,668",2005,242
"
Sumeet Music
    ","7,310,000",Entertainment,"4,473,114,917","2,927",2013,243
"
WION
    ","8,200,000",News & Politics,"4,459,302,094","123,560",2016,244
"
Mahesh Chavan
    ","8,460,000",Entertainment,"4,434,391,496","1,062",2015,245
"
Chetak
    ","10,500,000",Music,"4,423,578,478","11,738",2011,246
"
Pjdivya Official
    ","9,250,000",People & Blogs,"4,399,165,997","1,194",2014,247
"
Nisha Lambha
    ","6,420,000",,"4,396,123,808","15,585",2012,248
"
The BN Family
    ","3,750,000",Entertainment,"4,351,865,881","1,183",2013,249
"
shuaib011
    ","11,600,000",Entertainment,"4,305,733,806",601,2020,250
"
RS 1313 SHORT STORIES
    ","6,330,000",Entertainment,"4,297,737,409","8,524",2020,251
"
Google India
    ","8,150,000",People & Blogs,"4,293,696,797",736,2007,252
"
Multi DO Challenge Hindi
    ","8,750,000",,"4,275,923,054",466,2020,253
"
shadab5star
    ","11,500,000",Entertainment,"4,270,536,074",816,2020,254
"
Movie Talkies
    ","6,990,000",Entertainment,"4,237,588,578","42,358",2008,255
"
Akash Sagar
    ","4,040,000",Comedy,"4,196,492,299",793,2017,256
"
FilterCopy
    ","10,000,000",Comedy,"4,167,858,576",923,2015,257
"
Hindi Kahaniya
    ","10,800,000",Film & Animation,"4,151,841,795","1,036",2018,258
"
MaJa Tv Moral Stories Fairy Tales
    ","11,100,000",Entertainment,"4,132,213,251",449,2017,259
"
ETV Andhra Pradesh
    ","5,830,000",News & Politics,"4,131,310,597","359,847",2011,260
"
FACT BOY
    ","9,190,000",,"4,128,917,807","1,071",2021,261
"
Tirth Parsana
    ","3,650,000",Film & Animation,"4,111,484,520","2,034",2017,262
"
News Tak
    ","10,100,000",News & Politics,"4,111,034,515","51,900",2017,263
"
NH Studioz
    ","13,100,000",Film & Animation,"4,108,946,103","3,132",2011,264
"
The noodles girl
    ","10,000,000",People & Blogs,"4,095,833,075",637,2020,265
"
SMOL Hindi
    ","4,880,000",Entertainment,"4,089,028,319","2,219",2021,266
"
Trimurti Cassettes
    ","9,240,000",Entertainment,"4,084,568,064","5,529",2012,267
"
Reshmi Jaiswal
    ","6,950,000",People & Blogs,"4,057,140,828",634,2021,268
"
SR Toys Collection
    ","12,200,000",Entertainment,"4,033,445,068",984,2012,269
"
vlogger varun
    ","11,300,000",Entertainment,"4,030,625,487",417,2018,270
"
Tech Master Shorts
    ","8,050,000",People & Blogs,"3,998,695,092",786,2021,271
"
Sufiyan and Nida
    ","5,910,000",Entertainment,"3,964,968,621","1,489",2020,272
"
Varsha Singh Rajput
    ","6,500,000",Entertainment,"3,963,022,629",584,2014,273
"
Tamil cinema
    ","7,320,000",Film & Animation,"3,962,758,643","6,368",2015,274
"
Rachit Rojha
    ","12,800,000",Entertainment,"3,962,538,530",203,2016,275
"
MK Studio
    ","9,260,000",Music,"3,924,672,394",171,2016,276
"
Vivek Bhardwaj
    ","11,200,000",,"3,920,827,996",610,2021,277
"
Sonotek Bhakti
    ","13,600,000",Entertainment,"3,919,656,339","8,253",2010,278
"
Flying Beast
    ","8,680,000",People & Blogs,"3,919,222,872","1,543",2017,279
"
Bollygrad Studioz
    ","8,700,000",Music,"3,908,669,905","66,352",2014,280
"
Zidaan Shahid Aly
    ","8,110,000",People & Blogs,"3,894,787,781","2,369",2021,281
"
Ayngaran
    ","5,550,000",Music,"3,893,736,781","20,477",2006,282
"
Dream Stories TV Adventure
    ","9,690,000",,"3,888,835,615",489,2019,283
"
ETV Plus India
    ","5,160,000",Comedy,"3,878,665,278","30,558",2013,284
"
Haste Raho
    ","10,300,000",Comedy,"3,877,259,303","1,835",2018,285
"
M4 Tech
    ","12,300,000",Entertainment,"3,866,519,703",581,2017,286
"
BhavaniHD Movies
    ","8,030,000",Entertainment,"3,862,210,214","34,893",2016,287
"
Pen  Bhakti
    ","7,800,000",Music,"3,855,715,321","5,578",2019,288
"
SumanTV
    ","7,450,000",Entertainment,"3,849,282,119","67,019",2013,289
"
Sony Marathi
    ","4,010,000",Entertainment,"3,822,707,027","40,613",2018,290
"
TellyMasala
    ","6,650,000",Entertainment,"3,791,218,865","35,951",2014,291
"
So Saute
    ","3,250,000",Howto & Style,"3,784,812,821","1,342",2020,292
"
Shemaroo Kids
    ","8,810,000",Entertainment,"3,781,226,922","2,378",2009,293
"
hmtv News
    ","4,250,000",News & Politics,"3,780,558,111","260,222",2014,294
"
Samsung India
    ","4,960,000",Science & Technology,"3,763,197,901","1,973",2009,295
"
Zee Music Marathi
    ","6,730,000",Music,"3,760,976,263","3,083",2014,296
"
Anjali Dhariwal
    ","10,300,000",People & Blogs,"3,747,931,938",612,2018,297
"
Chapati Hindustani Gamer
    ","8,340,000",Gaming,"3,742,705,229","1,688",2017,298
"
CURIO
    ","5,930,000",,"3,727,302,803",221,2021,299
"
Mad 4 Music
    ","7,790,000",Music,"3,713,859,393","3,056",2011,300
"
Emiway Bantai
    ","20,800,000",Music,"3,693,353,462",246,2013,301
"
Fine Digital Haryanvi
    ","6,830,000",,"3,692,408,561","2,628",2018,302
"
Sonam Prajapati
    ","8,320,000",Entertainment,"3,685,296,258","1,835",2014,303
"
Navbharat Times à¤¨à¤µà¤­à¤¾à¤°à¤¤ à¤à¤¾à¤à¤®à¥à¤¸
    ","9,090,000",News & Politics,"3,677,539,580","73,310",2014,304
"
SureshProductions
    ","6,500,000",Entertainment,"3,641,118,753","6,520",2009,305
"
Payal Panchal
    ","9,980,000",Comedy,"3,635,120,525",325,2019,306
"
shagun style
    ","7,620,000",People & Blogs,"3,633,466,016",642,2018,307
"
We r Loser
    ","5,090,000",Comedy,"3,628,253,877",694,2020,308
